#Balls,#Bullets,Score,AvgBtnFreq,AvgBallDist,RatioBalls,AvgBallDir,Intensity Match,Winning Match
1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1
1,1,0,1,0,1,0,1,1
1,2,0,1,0,1,0,0,1
1,2,0,1,0,1,0,0,1
1,2,0,1,0,1,0,0,1
1,0,0,1,-3,0,1.36532,0,1
1,0,0,0,-7,0,1.36232,0,1
1,0,0,0,-15,0,1.35632,0,1
1,0,0,1,-23,0,1.35032,0,1
1,1,0,2,-33,0,1.34332,0,1
1,1,0,2,-41,0,1.33732,0,1
1,0,0,2,-49,0,-0.23382,0,1
1,0,0,2,-48,0,-0.22982,0,1
1,0,0,1,-47,0,-0.22582,0,1
1,1,0,0,-45,0,-0.21882,0,0
1,1,0,1,-44,0,-0.21182,0,0
1,2,0,2,-42,0,-0.20482,0,0
1,2,0,2,-41,0,-0.19782,0,0
1,2,0,2,-39,0,-0.19082,0,0
1,2,0,2,-38,0,-0.18382,0,0
1,2,0,2,-37,0,-0.17682,0,0
1,3,0,2,-36,0,-0.16982,0,0
1,3,0,2,-34,0,-0.16282,0,0
1,2,0,2,-31,0,-1.29397,0,0
1,2,0,2,-25,0,-1.28897,0,0
1,2,0,1,-17,0,-1.28297,0,0
1,1,0,0,-9,0,-1.27697,0,0
1,1,0,1,-2,0,-1.27097,0,0
1,2,0,2,7,1,-1.26397,0,0
1,1,0,2,16,1,-1.25697,0,0
1,1,0,2,23,1,-1.25097,0,0
1,1,0,2,32,1,-1.24397,0,0
1,1,0,1,40,1,-1.23797,0,0
1,1,0,0,48,1,-1.23097,0,0
1,0,0,0,53,1,-0.58344,0,0
1,1,0,0,55,1,-0.57944,0,0
1,1,0,0,58,1,-0.57344,0,1
1,1,0,0,62,1,-0.56644,0,1
1,1,0,1,66,1,-0.56044,0,1
1,2,0,2,70,1,-0.55344,0,1
1,2,0,2,73,1,-0.54644,0,1
1,2,0,2,77,1,-0.53944,0,1
1,2,0,2,80,1,-0.53344,0,1
1,2,0,1,84,1,-0.52644,0,1
1,2,0,0,88,1,-0.51944,0,1
1,2,0,0,91,1,-0.51244,0,1
1,2,0,0,95,1,-0.50644,0,1
1,2,0,1,98,1,-0.49944,0,1
1,2,0,2,101,1,-0.49344,0,1
1,2,0,2,104,1,-0.48644,0,1
1,2,0,2,107,1,-0.48044,0,1
1,2,0,2,110,1,-0.47444,0,1
1,1,0,1,113,1,-0.46844,0,1
1,1,0,0,116,1,-0.46144,0,1
