Timestamp(ms)	#Balls	#Bullets	Score	AvgBtnFreq	AvgBallDist	RatioBalls	AvgBallDir
1653423455659	1	0	0	0	0	1.0	0.00000
1653423455759	1	0	0	0	0	1.0	0.00000
1653423455877	1	0	0	0	0	1.0	0.00000
1653423455985	1	0	0	0	0	1.0	0.00000
1653423456099	1	0	0	0	0	1.0	0.00000
1653423456228	1	0	0	0	0	1.0	0.00000
1653423456334	1	0	0	0	0	1.0	0.00000
1653423456439	1	1	0	1	0	1.0	0.00000
1653423456548	1	2	0	1	0	1.0	0.00000
1653423456648	1	2	0	1	0	1.0	0.00000
1653423456750	1	2	0	1	0	1.0	0.00000
1653423456851	1	0	0	1	-3	0.0	1.36532
1653423456952	1	0	0	0	-7	0.0	1.36232
1653423457062	1	0	0	0	-15	0.0	1.35632
1653423457164	1	0	0	1	-23	0.0	1.35032
1653423457278	1	1	0	2	-33	0.0	1.34332
1653423457378	1	1	0	2	-41	0.0	1.33732
1653423457478	1	0	0	2	-49	0.0	-0.23382
1653423457599	1	0	0	2	-48	0.0	-0.22982
1653423457702	1	0	0	1	-47	0.0	-0.22582
1653423457822	1	1	0	0	-45	0.0	-0.21882
1653423457934	1	1	0	1	-44	0.0	-0.21182
1653423458050	1	2	0	2	-42	0.0	-0.20482
1653423458166	1	2	0	2	-41	0.0	-0.19782
1653423458281	1	2	0	2	-39	0.0	-0.19082
1653423458395	1	2	0	2	-38	0.0	-0.18382
1653423458512	1	2	0	2	-37	0.0	-0.17682
1653423458625	1	3	0	2	-36	0.0	-0.16982
1653423458742	1	3	0	2	-34	0.0	-0.16282
1653423458853	1	2	0	2	-31	0.0	-1.29397
1653423458964	1	2	0	2	-25	0.0	-1.28897
1653423459064	1	2	0	1	-17	0.0	-1.28297
1653423459165	1	1	0	0	-9	0.0	-1.27697
1653423459265	1	1	0	1	-2	0.0	-1.27097
1653423459379	1	2	0	2	7	1.0	-1.26397
1653423459493	1	1	0	2	16	1.0	-1.25697
1653423459596	1	1	0	2	23	1.0	-1.25097
1653423459707	1	1	0	2	32	1.0	-1.24397
1653423459807	1	1	0	1	40	1.0	-1.23797
1653423459928	1	1	0	0	48	1.0	-1.23097
1653423460049	1	0	0	0	53	1.0	-0.58344
1653423460152	1	1	0	0	55	1.0	-0.57944
1653423460255	1	1	0	0	58	1.0	-0.57344
1653423460366	1	1	0	0	62	1.0	-0.56644
1653423460468	1	1	0	1	66	1.0	-0.56044
1653423460584	1	2	0	2	70	1.0	-0.55344
1653423460699	1	2	0	2	73	1.0	-0.54644
1653423460813	1	2	0	2	77	1.0	-0.53944
1653423460917	1	2	0	2	80	1.0	-0.53344
1653423461034	1	2	0	1	84	1.0	-0.52644
1653423461147	1	2	0	0	88	1.0	-0.51944
1653423461261	1	2	0	0	91	1.0	-0.51244
1653423461365	1	2	0	0	95	1.0	-0.50644
1653423461477	1	2	0	1	98	1.0	-0.49944
1653423461577	1	2	0	2	101	1.0	-0.49344
1653423461689	1	2	0	2	104	1.0	-0.48644
1653423461789	1	2	0	2	107	1.0	-0.48044
1653423461891	1	2	0	2	110	1.0	-0.47444
1653423461991	1	1	0	1	113	1.0	-0.46844
1653423462107	1	1	0	0	116	1.0	-0.46144
1653423462221	1	1	0	0	120	1.0	-0.45444
1653423462333	1	2	0	1	123	1.0	-0.44744
1653423462446	1	2	0	1	126	1.0	-0.44044
1653423462546	1	2	0	1	128	1.0	-0.43444
1653423462647	1	2	0	1	131	1.0	-0.42844
1653423462763	1	2	0	2	134	1.0	-0.42144
1653423462864	1	3	0	2	137	1.0	-0.41544
1653423462980	1	2	0	2	139	1.0	-0.40844
1653423463082	1	2	0	2	142	1.0	-0.40244
1653423463182	1	2	0	2	144	1.0	-0.39644
1653423463291	1	2	0	1	147	1.0	-0.38944
1653423463391	1	2	0	0	149	1.0	-0.38344
1653423463503	1	2	0	0	152	1.0	-0.37644
1653423463605	1	2	0	0	152	1.0	1.88174
1653423463714	2	1	0	0	72	1.0	0.93887
1653423463824	2	0	0	0	66	1.0	-0.17676
1653423463940	2	0	0	0	67	1.0	-0.17476
1653423464053	2	0	0	0	68	1.0	-0.17226
1653423464166	2	0	0	0	69	1.0	-0.16876
1653423464280	2	0	0	0	70	1.0	-0.16526
1653423464382	2	0	0	1	71	1.0	-0.16226
1653423464493	2	1	0	2	72	1.0	-0.15876
1653423464593	2	1	0	2	73	1.0	-0.15576
1653423464696	2	2	0	2	74	1.0	-0.15276
1653423464811	2	2	0	2	75	1.0	-0.14926
1653423464912	2	2	0	1	76	1.0	-0.14626
1653423465040	2	2	0	0	75	1.0	0.94457
1653423465153	2	2	0	0	71	1.0	0.94257
1653423465256	2	2	0	0	66	1.0	0.93957
1653423465367	2	2	0	0	59	1.0	0.93607
1653423465481	2	2	0	1	52	1.0	0.93257
1653423465583	2	3	0	2	47	1.0	0.92957
1653423465698	2	3	0	2	40	1.0	0.92607
1653423465814	2	3	0	2	34	1.0	0.92257
1653423465914	2	3	0	2	28	1.0	0.91957
1653423466030	2	3	0	1	22	1.0	0.91607
1653423466130	2	2	0	0	16	1.0	0.91307
1653423466249	2	2	0	1	10	1.0	0.90957
1653423466349	2	3	0	2	5	1.0	0.90657
1653423466461	2	3	0	2	-2	0.5	0.90307
1653423466580	2	3	0	2	-8	0.5	0.89957
1653423466693	2	3	0	2	-14	0.5	0.89607
1653423466793	2	3	0	2	-20	0.5	0.89307
1653423466904	2	4	0	2	-26	0.5	0.88957
1653423467005	2	4	0	2	-31	0.5	0.88657
1653423467117	2	3	0	2	-35	0.5	-0.81391
1653423467217	2	3	0	2	-32	0.5	-0.81191
1653423467318	2	2	0	1	-27	0.5	-0.80891
1653423467447	2	1	0	1	-25	0.0	-0.11545
1653423467551	2	2	0	2	-24	0.0	-0.11545
1653423467665	2	2	0	2	-24	0.0	-0.11545
1653423467766	2	2	0	2	-23	0.0	-0.11545
1653423467866	2	1	0	3	-22	0.0	-0.11545
1653423467979	2	1	0	2	-21	0.5	-0.11545
1653423468096	2	1	0	1	-21	0.5	-0.11545
1653423468209	2	2	0	2	-20	0.5	-0.11545
1653423468326	2	1	0	2	-19	0.5	-1.02694
1653423468432	2	1	0	1	-14	0.5	-1.02194
1653423468532	2	1	0	2	-8	0.5	-1.01594
1653423468634	2	1	0	2	-2	0.5	-1.00994
1653423468735	2	2	0	2	4	0.5	-1.00394
1653423468848	2	3	0	2	11	0.5	-0.99694
1653423468950	2	3	0	2	17	0.5	-0.99094
1653423469052	2	2	0	1	23	0.5	-0.98494
1653423469153	2	2	0	2	29	0.5	-0.97894
1653423469267	2	2	0	1	36	0.5	-0.97194
1653423469367	2	3	0	2	42	0.5	-0.96594
1653423469481	2	3	0	2	49	0.5	-0.95894
1653423469582	2	3	0	2	54	0.5	-0.95294
1653423469700	2	2	0	1	61	0.5	-1.23503
1653423469816	2	2	0	1	68	0.5	-1.22903
1653423469931	2	2	0	0	77	0.5	-1.22203
1653423470641	1	1	1	2	0	1.0	0.00000
1653423470741	1	1	1	0	0	1.0	0.00000
1653423470844	1	1	1	0	0	1.0	0.00000
1653423470969	1	0	1	0	-1	0.0	1.47181
1653423471081	1	0	1	0	-9	0.0	1.46681
1653423471181	1	0	1	0	-18	0.0	1.46081
1653423471285	1	1	1	2	-26	0.0	1.45481
1653423471399	1	1	1	2	-37	0.0	1.44781
1653423471500	1	1	1	3	-45	0.0	1.44181
1653423471615	1	1	1	3	-55	0.0	1.43481
1653423471733	1	1	1	3	-65	0.0	1.42781
1653423471834	1	2	1	2	-74	0.0	1.42181
1653423471948	1	2	1	2	-84	0.0	1.41481
1653423472059	1	2	1	2	-94	0.0	1.40781
1653423472159	1	2	1	2	-102	0.0	1.40181
1653423472276	1	3	1	3	-112	0.0	1.39481
1653423472376	1	2	1	2	-108	0.0	-1.83067
1653423472478	1	2	1	2	-99	0.0	-1.82567
1653423472592	1	2	1	1	-86	0.0	-1.81867
1653423472705	1	2	1	2	-73	0.0	-1.81167
1653423472809	1	2	1	1	-62	0.0	-1.80567
1653423472920	1	3	1	3	-50	0.0	-1.79867
1653423473020	1	3	1	3	-39	0.0	-1.79267
1653423473143	1	2	1	3	-31	0.0	0.88532
1653423473272	1	1	1	2	-35	0.0	0.88032
1653423473387	1	1	1	2	-41	0.0	0.87332
1653423473491	1	1	1	1	-47	0.0	0.86732
1653423473603	1	3	1	2	-53	0.0	0.86032
