Timestamp(ms)	#Balls	#Bullets	Score	AvgBtnFreq	AvgBallDist	RatioBalls	AvgBallDir
1656615273906	1	0	0	0	0	1.0	0.00000
1656615274010	1	0	0	0	0	1.0	0.00000
1656615274112	1	0	0	0	0	1.0	0.00000
1656615274213	1	0	0	0	0	1.0	0.00000
1656615274321	1	0	0	0	0	1.0	0.00000
1656615274421	1	0	0	0	0	1.0	0.00000
1656615274528	1	0	0	0	0	1.0	0.00000
1656615274632	1	0	0	0	0	1.0	0.00000
1656615274736	1	0	0	0	0	1.0	0.00000
1656615274840	1	0	0	0	0	1.0	0.00000
1656615274944	1	0	0	0	0	1.0	0.00000
1656615275049	1	0	0	0	0	1.0	0.00000
1656615275158	1	0	0	0	0	1.0	0.00000
1656615275265	1	0	0	0	0	1.0	0.00000
1656615275382	1	0	0	0	0	1.0	0.00000
1656615275484	1	0	0	0	0	1.0	0.00000
1656615275585	1	0	0	0	0	1.0	0.00000
1656615275687	1	0	0	0	0	1.0	0.00000
1656615275790	1	0	0	0	0	1.0	0.00000
1656615275895	1	0	0	0	0	1.0	0.00000
1656615276001	1	0	0	0	0	1.0	0.00000
1656615276116	1	0	0	0	0	1.0	0.00000
1656615276226	1	0	0	0	0	1.0	0.00000
1656615276334	1	0	0	0	0	1.0	0.00000
1656615276435	1	0	0	0	0	1.0	0.00000
1656615276544	1	0	0	0	0	1.0	0.00000
1656615276654	1	0	0	0	0	1.0	0.00000
1656615276764	1	0	0	0	0	1.0	0.00000
1656615276875	1	0	0	0	0	1.0	0.00000
1656615276987	1	0	0	0	0	1.0	0.00000
1656615277099	1	0	0	0	0	1.0	0.00000
1656615277211	1	2	0	1	0	1.0	0.00000
1656615277311	1	2	0	1	0	1.0	0.00000
1656615277411	1	2	0	1	0	1.0	0.00000
1656615277543	1	2	0	1	0	1.0	0.00000
1656615277650	1	2	0	1	0	1.0	0.00000
1656615277758	1	0	0	1	-1	0.0	0.96411
1656615277864	1	0	0	1	-4	0.0	0.96111
1656615277975	1	0	0	1	-7	0.0	0.95811
1656615278081	1	0	0	1	-12	0.0	0.95211
1656615278188	1	0	0	1	-18	0.0	0.94611
1656615278299	1	0	0	0	-24	0.0	0.94011
1656615278400	1	1	0	1	-29	0.0	0.93411
